"Group.1","Overall_Literacy....","Fem_Literacy....","SC_Enrol...","ST_Enrol...","OBC_Enrol....","Muslim_Enrol....","Girl_.Boy_Ratio","RTE_Score","SC_Tch....","ST_Tch....","Gender_ratio_Tch","Med_Instr_Non_Eng...","Med_Instr_Eng...","Pvt_School....","Schools_SCR_Grt_30","Schools_PTR_Grt_30","Not_In_School...","X3to5_Can_read_1text...","X3to5_Can_Subtract....","z_Overall_Literacy....","z_Fem_Literacy....","z_SC_Enrol...","z_ST_Enrol...","z_OBC_Enrol....","z_Muslim_Enrol....","z_Girl_.Boy_Ratio","z_RTE_Score","z_SC_Tch....","z_ST_Tch....","z_Gender_ratio_Tch","z_Med_Instr_Non_Eng...","z_Med_Instr_Eng...","z_Pvt_School....","z_Schools_SCR_Grt_30","z_Schools_PTR_Grt_30","z_Not_In_School...","z_X3to5_Can_read_1text...","z_X3to5_Can_Subtract...."
1,74.425,67.2375,20.1125,7.4625,66.0875,11.1375,0.94375,8.55,15.025,4.85,1.640664133375,83.975,15.35,26.375,10.575,6.8875,0.4875,60.0125,48.225,0.00672624632631506,0.0751116230066908,0.141345363394292,-0.195760128461078,0.273074058311942,-0.524959019111599,0.150236111875993,0.134601934390477,0.186864855054116,-0.135997779023579,0.138456334310367,-0.244782030788372,0.296418579022398,0.0796312414501389,-0.634471987292931,-0.522811569319727,-0.780663440665642,0.239145436238561,0.450369072714887
2,71.6857142857143,62.9428571428571,20.9214285714286,10.8142857142857,56.8071428571429,15.5142857142857,0.938571428571429,8.45285714285714,14.9214285714286,5.89285714285714,1.18160419464286,89.1,9.48571428571429,22.2142857142857,22.35,13.1214285714286,2.44285714285714,51.2214285714286,32.3642857142857,-0.376516051500497,-0.413215449836771,0.263056555824323,0.367734373671605,-0.518157937811621,0.181795923464684,-0.149441211813159,-0.20879809447296,0.168925448291854,0.369136828778285,-0.387450909266598,0.404316588167858,-0.464446138126726,-0.341610516063781,0.57388632629793,0.430108525882376,0.620514730797656,-0.633684262867893,-0.719536784430155
3,83.7,77.975,11.175,3.3,77.75,16.95,0.945,8.6425,8.375,3.025,2.46180113725,78.6,21.025,35.825,9.55,7.3,0.725,75.125,64.05,1.30435368759911,1.29603082841531,-1.20338867217371,-0.895550050928464,1.26740466571679,0.413632306096806,0.222572017594063,0.461589461874406,-0.964968779129723,-1.01998334267684,1.07916551381236,-0.925543997010764,1.03272432539874,1.03637432332296,-0.739658167456891,-0.459756701948863,-0.610474676460511,1.7396040475605,1.61764060007577
