"","Overall_Literacy....","Fem_Literacy....","SC_Enrol...","ST_Enrol...","OBC_Enrol....","Muslim_Enrol....","Girl_.Boy_Ratio","RTE_Score","SC_Tch....","ST_Tch....","Gender_ratio_Tch","Med_Instr_Non_Eng...","Med_Instr_Eng...","Pvt_School....","Schools_SCR_Grt_30","Schools_PTR_Grt_30","Not_In_School...","X3to5_Can_read_1text...","X3to5_Can_Subtract...."
"Mean","74.3769230769231","66.5769230769231","19.1730769230769","8.62692307692308","62.8846153846154","14.3884615384615","0.941153846153846","8.51192307692308","13.9461538461538","5.13076923076923","1.51980678234615","85.9076923076923","13.0653846153846","25.5884615384615","16.7576923076923","10.3076923076923","1.57692307692308","57.6038461538462","42.1192307692308"
"Std.Dev","7.14766018735125","8.79460324027447","6.64629567156368","5.94821369436625","11.728996284685","6.19279109436622","0.017280491446003","0.282885407623217","5.77340320914663","2.0645133529758","0.872891454412837","7.89556448023436","7.70739604835212","9.87725981932548","9.74462613246596","6.54192161841905","1.39550928117521","10.0719206021188","13.5572569269973"
